method,iLISI,cLISI_purity,ASW_celltype,ASW_batch_mixing,kBET
INSCT_Unsupervised,0.189955021,0.951173655,0.532616233,0.593184371,0.285581395
Scanorama,0.136562324,0.898186381,0.363216575,0.548711623,0.032325581
DeepBID,0.078688556,0.990130377,0.519266857,0.485140253,0.976976744
DESC,0.163541092,0.97478852,0.445062563,0.587460296,0.517674419
SPDR,0.201926142,0.974722716,0.587291243,0.602939154,0.39255814
BTCA,0.217386882,0.978974687,0.61285643,0.604893226,0.345581395
scBCN,0.160134011,0.963340545,0.424599657,0.566139159,0.595813953
fastMNN,0.1497818,0.9824273,0.5655406,0.5823597,0.5593023
