method,iLISI,cLISI_purity,ASW_celltype,ASW_batch_mixing,kBET
INSCT_Unsupervised,0.536682127,0.999999995,0.969483317,0.486282583,0.801153114
Scanorama,0.68302768,0.999999995,0.946449271,0.504340135,0.607465461
DeepBID,8.21E-09,0.999867051,0.538191131,0.057533729,1
SPDR,0.120646427,0.999999994,0.892033718,0.224658181,0.975093629
BTCA,0.7896841,0.999999994,0.9690427,0.5110607,0.2989112
scBCN,0.002627051,0.987611392,0.5079269,0.091767943,1
DESC,0.01194553,0.2209348,0.4835658,0.409111,1
fastMNN,0.6589509,1,0.9191483,0.4739787,0.6867667
