method,iLISI,cLISI_purity,ASW_celltype,ASW_batch_mixing,kBET
INSCT_Unsupervised,0.808033423,0.996764192,0.950990301,0.551673898,0.137810874
Scanorama,0.471630151,0.998193068,0.801480935,0.525800564,0.82600065
DeepBID,0.732863076,0.983340898,0.728181206,0.533075352,0.404964186
DESC,0.802130495,0.232774947,0.488720134,0.511193216,0.135241647
SPDR,0.798878168,0.950242254,0.775084741,0.539314313,0.326508453
BTCA,0.834304356,0.998671367,0.953959154,0.532095773,0.099232593
scBCN,0.84746195,0.958083753,0.655948258,0.509333912,0.042576881
fastMNN,0.4828254,0.9987764,0.7953718,0.5258489,0.8250244
