method,iLISI,cLISI_purity,ASW_celltype,ASW_batch_mixing,kBET
INSCT_Unsupervised,0.584412287,0.936666194,0.638588022,0.537838125,0.378399727
Scanorama,0.461267298,0.939179414,0.631115555,0.534625918,0.667872953
DeepBID,0.335092545,0.935184665,0.611932556,0.524890348,0.827125254
DESC,0.63105906,0.896729018,0.48661489,0.532787957,0.230558597
SPDR,0.537743917,0.938490947,0.643779205,0.52666641,0.573620347
BTCA,0.603874439,0.947765081,0.666390192,0.553536923,0.414382358
scBCN,0.540556302,0.9039046,0.598413539,0.526106936,0.529200884
fastMNN,0.5080333,0.9453712,0.6350415,0.534999,0.5884005
