method,iLISI,cLISI_purity,ASW_celltype,ASW_batch_mixing,kBET
INSCT_Unsupervised,0.335892934,0.960822193,0.53200781,0.551605615,0.580142738
Scanorama,0.282278258,0.959895971,0.571029232,0.521530881,0.677134952
DeepBID,0.205653334,0.969965644,0.543472593,0.461457251,0.777529353
DESC,0.316422645,0.961278436,0.439121751,0.516578109,0.632836336
SPDR,0.342005758,0.974566328,0.562095395,0.546794163,0.667378352
BTCA,0.362977764,0.97937432,0.587008076,0.58697875,0.533420392
scBCN,0.319877688,0.959692617,0.464718154,0.499473086,0.651365065
fastMNN,0.314998,0.9735254,0.5442031,0.5332633,0.6558846
