method,iLISI,cLISI_purity,ASW_celltype,ASW_batch_mixing,kBET
INSCT_Unsupervised,0.663530574,0.976701154,0.662468017,0.45522118,0.428619533
Scanorama,0.45599627,0.983982675,0.635837588,0.424117631,0.741269207
DeepBID,0.049792866,0.970904475,0.508484706,0.218209964,0.993879512
DESC,0.057160184,0.943357586,0.531272652,0.240081809,0.988289885
SPDR,0.235905695,0.976348868,0.5887774,0.314349552,0.913048937
BTCA,0.839177954,0.97541547,0.713012283,0.494074758,0.195190506
scBCN,0.589705132,0.956392951,0.594242095,0.408840324,0.507839816
fastMNN,0.543406,0.9834328,0.6038965,0.4273511,0.596754
