method,iLISI,cLISI_purity,ASW_celltype,ASW_batch_mixing,kBET
INSCT_Unsupervised,0.383230761,0.989062984,0.92303611,0.609116882,0.920966095
SPDR,0.230771205,0.996995365,0.796173287,0.502036453,0.970498081
Scanorama,0.355020346,0.999494741,0.564223398,0.40348928,0.997342093
DeepBID,1.99E-09,0.893391182,0.293822476,0.07586429,1
DESC,1.84E-09,0.999999998,0.368764001,0.076245248,1
scBCN,0.0278041,0.912189135,0.32141332,0.264061549,1
BTCA,0.54356177,0.999949697,0.937787193,0.549593977,0.448056069
fastMNN,0.4711331,0.9912303,0.8534208,0.5173408,0.6028059
