method,iLISI,cLISI_purity,ASW_celltype,ASW_batch_mixing,kBET
INSCT_Unsupervised,0.279180502,0.991128294,0.708569723,0.584157246,0.795574786
Scanorama,0.131380751,0.952695855,0.467786062,0.533740018,0.946095656
DeepBID,0.074273779,0.992648715,0.461805956,0.402311272,0.977971698
DESC,0.140174128,0.978320094,0.340715744,0.52964584,0.949566586
SPDR,0.290884735,0.994804558,0.730164718,0.592702787,0.762664971
BTCA,0.305166227,0.992451855,0.761667077,0.628461461,0.734758513
scBCN,0.165848066,0.974089586,0.404296939,0.465209383,0.914693396
fastMNN,0.2658318,0.9956071,0.6821498,0.5732577,0.7921721
