method,iLISI,cLISI_purity,ASW_celltype,ASW_batch_mixing,kBET
INSCT_Unsupervised,0.579561505,0.999985101,0.991807196,0.570415998,0.275875155
SPDR,0.193963666,0.997349715,0.768661216,0.483829198,0.966904251
Scanorama,0.399185017,0.999985186,0.650373578,0.528837533,0.96428676
DeepBID,1.47E-05,0.972564013,0.481468653,0.0499395,1
DESC,1.83E-09,0.999999998,0.44799604,0.073235352,1
scBCN,0.005515349,0.984750266,0.439888305,0.162674303,1
BTCA,0.616870253,0.999999998,0.951505533,0.534700556,0.065307028
fastMNN,0.4844658,0.9998609,0.87407,0.5570276,0.6844067
