method,iLISI,cLISI_purity,ASW_celltype,ASW_batch_mixing,kBET
INSCT_Unsupervised,0.158218297,0.991450921,0.907982087,0.332258077,0.917877796
Scanorama,0.428433164,0.994900842,0.845573044,0.509911647,0.223628059
DeepBID,0.094096705,0.990475088,0.826783351,0.395056422,0.944762081
DESC,0.093885654,0.991291255,0.624553263,0.199101455,1
SPDR,0.515673216,0.992675853,0.904688612,0.529712561,0.274647864
BTCA,0.5368449,0.9954405,0.9283733,0.5262262,0.1710373
scBCN,0.018686,0.890085916,0.553837933,0.266072092,0.984609929
fastMNN,0.4444422,0.9962832,0.800983,0.5150395,0.2359084
