method,iLISI,cLISI_purity,ASW_celltype,ASW_batch_mixing,kBET
INSCT_Unsupervised,0.815211858,0.889852064,0.690016164,0.483010527,0.31425
Scanorama,0.692692995,0.894470508,0.698724822,0.476490562,0.381125
DeepBID,0.908078102,0.877545933,0.650999744,0.499195202,0.0254
DESC,0.720808683,0.960202545,0.818450212,0.463205298,0.4186
BTCA,0.9030113,0.937005,0.7996308,0.5017034,0.0264
scBCN,0.605006151,0.951151763,0.792612413,0.428491052,0.7128
SPDR,0.84982155,0.881068792,0.697740879,0.481125756,0.248
fastMNN,0.7682633,0.9319499,0.7748568,0.4900076,0.3192
